,text,date
0,"RT @ErieCanalMuseum: They aren't in the photo, but mules or horses were way attached to the rope, pulling this barge around a big curve in…",2018-09-02 17:03:33+00:00
1,"RT @ErieCanalMuseum: They aren't in the photo, but mules or horses were way attached to the rope, pulling this barge around a big curve in…",2018-08-29 00:21:42+00:00
2,"RT @ErieCanalMuseum: They aren't in the photo, but mules or horses were way attached to the rope, pulling this barge around a big curve in…",2018-08-29 00:03:40+00:00
3,"RT @ErieCanalMuseum: They aren't in the photo, but mules or horses were way attached to the rope, pulling this barge around a big curve in…",2018-08-28 21:37:08+00:00
4,"They aren't in the photo, but mules or horses were way attached to the rope, pulling this barge around a big curve in the #ErieCanal. #Schenectady #NewYork . #ErieCanal #boat #History #heritage #shipping #ship https://t.co/74VIV1MMjL",2018-08-28 20:45:22+00:00
5,...and is St. Anthony helping you out?  #lost #found #faith #church #schenectady #hnjschenectady https://t.co/Oxs0SMn8XX,2019-08-15 18:39:45+00:00
6,"Sometimes we feel #lost, #apart, #alone, #lonely. We can feel #abandoned. With #Jesus in our life, that’s not possible. Even if we fall or fail, He lifts us up in #love. #liftedup #grace #church #schenectady #hnjschenectady https://t.co/ibjUSv6sp1",2018-09-05 17:37:12+00:00
7,We are so thankful for Jesus. Join us or a church near you in iur thankfulness. #lost #saved #found #Jesus #church #schenectady #hnjschenectady https://t.co/hoJRCnCQnN,2018-06-24 23:43:18+00:00
8,RT @PawBoost: Please RT! Have you seen Bruno? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/PDXt02Uk8i https://t.co/BrXlOgWpxK,2017-10-30 05:04:27+00:00
9,RT @PawBoost: Please RT! Have you seen Bruno? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/PDXt02Uk8i https://t.co/BrXlOgWpxK,2017-10-30 05:03:21+00:00
10,RT @PawBoost: Please RT! Have you seen Bruno? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/PDXt02Uk8i https://t.co/BrXlOgWpxK,2017-10-29 23:47:12+00:00
11,Please RT! Have you seen Bruno? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/PDXt02Uk8i https://t.co/BrXlOgWpxK,2017-10-29 23:38:09+00:00
12,RT @PawBoost: Please RT! Have you seen Kiitten  Kitten? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/Ibu9kDGLvi https://t.co/…,2017-10-28 05:21:36+00:00
13,RT @PawBoost: Please RT! Have you seen Kiitten  Kitten? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/Ibu9kDGLvi https://t.co/…,2017-10-28 05:21:26+00:00
14,RT @PawBoost: Please RT! Have you seen Kiitten  Kitten? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/Ibu9kDGLvi https://t.co/…,2017-10-28 05:20:41+00:00
15,RT @PawBoost: Please RT! Have you seen Kiitten  Kitten? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/Ibu9kDGLvi https://t.co/…,2017-10-27 15:24:06+00:00
16,RT @PawBoost: Please RT! Have you seen Kiitten  Kitten? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/Ibu9kDGLvi https://t.co/…,2017-10-27 11:23:52+00:00
17,Please RT! Have you seen Kiitten  Kitten? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/Ibu9kDGLvi https://t.co/gssGENElWw,2017-10-27 10:31:14+00:00
18,RT @PawBoost: Please RT! Have you seen Tweaker? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/DhJvLDHHek https://t.co/QxUDZAHn…,2017-10-14 22:09:33+00:00
19,RT @PawBoost: Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 22:04:50+00:00
20,RT @PawBoost: Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 21:32:25+00:00
21,RT @PawBoost: Please RT! Have you seen Tweaker? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/DhJvLDHHek https://t.co/QxUDZAHn…,2017-10-14 21:31:03+00:00
22,RT @PawBoost: Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 21:30:28+00:00
23,RT @PawBoost: Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 21:29:41+00:00
24,RT @PawBoost: Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 21:02:23+00:00
25,RT @PawBoost: Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 20:57:37+00:00
26,Please RT! Have you seen Babie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/TJqMjnuJE1 https://t.co/se4KuWp2sJ,2017-10-14 20:50:12+00:00
27,RT @PawBoost: Please RT! Have you seen Tweaker? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/DhJvLDHHek https://t.co/QxUDZAHn…,2017-10-14 20:36:28+00:00
28,RT @PawBoost: Please RT! Have you seen Tweaker? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/DhJvLDHHek https://t.co/QxUDZAHn…,2017-10-14 20:30:15+00:00
29,Please RT! Have you seen Tweaker? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/DhJvLDHHek https://t.co/QxUDZAHnpl,2017-10-14 20:29:07+00:00
30,RT @PawBoost: Please RT! Have you seen Misty? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/0Dpul2dQpC https://t.co/gJhtsEudAW,2017-10-04 23:12:51+00:00
31,Please RT! Have you seen Misty? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/0Dpul2dQpC https://t.co/gJhtsEudAW,2017-10-04 22:28:54+00:00
32,Please RT! Have you seen Calix? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/fHmDUXL3nC https://t.co/OZkyrUaUIr,2017-09-21 02:57:18+00:00
33,RT @PawBoost: Please RT! Have you seen Chi Chi? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/LavODbXG5i https://t.co/ksd7DtCN…,2017-09-17 18:05:26+00:00
34,Please RT! Have you seen Chi Chi? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/LavODbXG5i https://t.co/ksd7DtCNnp,2017-09-17 16:02:26+00:00
35,RT @PawBoost: Please RT! Have you seen Mama's? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/FSJYQYBqvt https://t.co/4NV13pAuzi,2017-09-17 00:48:34+00:00
36,RT @PawBoost: Please RT! Have you seen Mama's? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/FSJYQYBqvt https://t.co/4NV13pAuzi,2017-09-16 22:39:27+00:00
37,Please RT! Have you seen Mama's? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/FSJYQYBqvt https://t.co/4NV13pAuzi,2017-09-16 19:18:55+00:00
38,RT @PawBoost: Please RT! Have you seen Rocko? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/PORDdMB8ny https://t.co/eDdDxdmq30,2017-09-16 12:29:11+00:00
39,RT @PawBoost: Please RT! Have you seen Rocko? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/PORDdMB8ny https://t.co/eDdDxdmq30,2017-09-16 02:30:26+00:00
40,Please RT! Have you seen Rocko? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/PORDdMB8ny https://t.co/eDdDxdmq30,2017-09-16 02:29:18+00:00
